ingredient,calories_per_100g
Dough,250
Basic dough, 240
Tomato sauce,30
Mozzarella,250
Basil,20
Pepperoni,300
BBQ sauce,150
Buffalo sauce,150
Olive oil,80
Chicken,200
Red Onion,40
Cilantro,10
Bell Peppers,30
Pesto sauce,120
Onions,40
Olives,50
Mushrooms,20
Ham,150
Pineapple,50
Sausage,280
Truffle sauce,200
Alfredo sauce,180
Spinach,20
Artichoke hearts,50
Blue cheese,300
Sun-dried tomatoes,160
Feta cheese,250
Kalamata olives,70
Ricotta,174
Parmesan,431
Prosciutto,195
Arugula,25
Harissa paste,85
Merguez sausage,350
Harissa sauce,85
